"V1","KO","n","Definition"
"KO:K03164","K03164",1193,"TOP2; DNA topoisomerase II [EC:5.6.2.2]"
"KO:K12626","K12626",9,"LSM7; U6 snRNA-associated Sm-like protein LSm7"
"KO:K12769","K12769",9,"NDT80; meiosis-specific transcription factor NDT80"
"KO:K12876","K12876",9,"RBM8A, Y14; RNA-binding protein 8A"
"KO:K12877","K12877",9,"MAGOH; protein mago nashi"
"KO:K13174","K13174",9,"THOC5; THO complex subunit 5"
"KO:K13352","K13352",9,"PEX11B; peroxin-11B"
"KO:K13979","K13979",9,"yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"
"KO:K14206","K14206",9,"SLC15A1, PEPT1; solute carrier family 15 (oligopeptide transporter), member 1"
"KO:K14645","K14645",9,"K14645; serine protease [EC:3.4.21.-]"
"KO:K14764","K14764",9,"SHQ1; protein SHQ1"
"KO:K15182","K15182",9,"RDBP, NELFE; negative elongation factor E"
"KO:K15335","K15335",9,"NSUN2, TRM4; tRNA (cytosine34-C5)-methyltransferase [EC:2.1.1.203]"
"KO:K15440","K15440",9,"TAD1, ADAT1; tRNA-specific adenosine deaminase 1 [EC:3.5.4.34]"
"KO:K16911","K16911",9,"DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]"
"KO:K17435","K17435",9,"MRPL54; large subunit ribosomal protein L54"
"KO:K17788","K17788",9,"MIC19; MICOS complex subunit MIC19"
"KO:K17790","K17790",9,"TIM22; mitochondrial import inner membrane translocase subunit TIM22"
"KO:K17808","K17808",9,"ZIM17, DNLZ, Tim15; mitochondrial protein import protein ZIM17"
"KO:K18173","K18173",9,"COA1; cytochrome c oxidase assembly factor 1"
"KO:K18192","K18192",9,"ATP10; mitochondrial ATPase complex subunit ATP10"
"KO:K18342","K18342",9,"OTUD6; OTU domain-containing protein 6 [EC:3.4.19.12]"
"KO:K18457","K18457",9,"laaA; L-proline amide hydrolase [EC:3.5.1.101]"
"KO:K19656","K19656",9,"IFT122; intraflagellar transport protein 122"
"KO:K19685","K19685",9,"TTC26, IFT56, DYF13; intraflagellar transport protein 56"
"KO:K00104","K00104",8,"glcD; glycolate oxidase [EC:1.1.3.15]"
"KO:K00224","K00224",8,"CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-]"
"KO:K00471","K00471",8,"BBOX1; gamma-butyrobetaine dioxygenase [EC:1.14.11.1]"
"KO:K00520","K00520",8,"merA; mercuric reductase [EC:1.16.1.1]"
"KO:K00528","K00528",8,"fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]"
"KO:K00640","K00640",8,"cysE; serine O-acetyltransferase [EC:2.3.1.30]"
"KO:K00994","K00994",8,"CHPT1, CPT1; diacylglycerol cholinephosphotransferase [EC:2.7.8.2]"
"KO:K01100","K01100",8,"E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37]"
"KO:K01128","K01128",8,"SMPDL3; sphingomyelin phosphodiesterase acid-like 3 [EC:3.1.4.-]"
"KO:K01182","K01182",8,"IMA, malL; oligo-1,6-glucosidase [EC:3.2.1.10]"
"KO:K01184","K01184",8,"E3.2.1.15; polygalacturonase [EC:3.2.1.15]"
"KO:K01233","K01233",8,"csn; chitosanase [EC:3.2.1.132]"
"KO:K01239","K01239",8,"E3.2.2.1; purine nucleosidase [EC:3.2.2.1]"
"KO:K01261","K01261",8,"pepA; glutamyl aminopeptidase [EC:3.4.11.7]"
"KO:K01291","K01291",8,"CPB1; carboxypeptidase B [EC:3.4.17.2]"
"KO:K01512","K01512",8,"acyP; acylphosphatase [EC:3.6.1.7]"
"KO:K01522","K01522",8,"FHIT; bis(5'-adenosyl)-triphosphatase [EC:3.6.1.29]"
"KO:K01561","K01561",8,"dehH; haloacetate dehalogenase [EC:3.8.1.3]"
"KO:K01703","K01703",8,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
"KO:K02151","K02151",8,"ATPeV1F, ATP6S14; V-type H+-transporting ATPase subunit F"
"KO:K02184","K02184",8,"FMN2; formin 2"
"KO:K02207","K02207",8,"UBE2R, UBC3, CDC34; ubiquitin-conjugating enzyme E2 R [EC:2.3.2.23]"
"KO:K02621","K02621",8,"parC; topoisomerase IV subunit A [EC:5.6.2.2]"
"KO:K02831","K02831",8,"RAD53; ser/thr/tyr protein kinase RAD53 [EC:2.7.11.-]"
"KO:K02864","K02864",8,"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
"KO:K02879","K02879",8,"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
"KO:K02946","K02946",8,"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
"KO:K02952","K02952",8,"RP-S13, rpsM; small subunit ribosomal protein S13"
"KO:K03000","K03000",8,"RPA12, POLR1H, ZNRD1; DNA-directed RNA polymerase I subunit RPA12"
"KO:K03020","K03020",8,"RPAC2, RPC19, POLR1D; DNA-directed RNA polymerases I and III subunit RPAC2"
"KO:K03024","K03024",8,"RPC7, POLR3G; DNA-directed RNA polymerase III subunit RPC7"
"KO:K03112","K03112",8,"damX; DamX protein"
"KO:K03496","K03496",8,"parA, soj; chromosome partitioning protein"
"KO:K03572","K03572",8,"mutL; DNA mismatch repair protein MutL"
"KO:K03726","K03726",8,"helS; ATP-dependent DNA helicase [EC:5.6.2.4]"
"KO:K03750","K03750",8,"moeA; molybdopterin molybdotransferase [EC:2.10.1.1]"
"KO:K03872","K03872",8,"ELOC, TCEB1; elongin-C"
"KO:K03938","K03938",8,"NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5"
"KO:K03965","K03965",8,"NDUFB9; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 9"
"KO:K04426","K04426",8,"MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5 [EC:2.7.11.25]"
"KO:K04797","K04797",8,"pfdA, PFDN5; prefoldin alpha subunit"
"KO:K04952","K04952",8,"CNGB1; cyclic nucleotide gated channel beta 1"
"KO:K05655","K05655",8,"ABCB8; ATP-binding cassette, subfamily B (MDR/TAP), member 8"
"KO:K05661","K05661",8,"ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6"
"KO:K05797","K05797",8,"pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]"
"KO:K05928","K05928",8,"E2.1.1.95; tocopherol O-methyltransferase [EC:2.1.1.95]"
"KO:K06177","K06177",8,"rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]"
"KO:K06270","K06270",8,"PPP1R12A, MYPT1; protein phosphatase 1 regulatory subunit 12A"
"KO:K06271","K06271",8,"TLN; talin"
"KO:K06660","K06660",8,"CDC5; cell cycle serine/threonine-protein kinase CDC5/MSD2 [EC:2.7.11.21]"
"KO:K06661","K06661",8,"RAD9; DNA repair protein RAD9"
"KO:K06668","K06668",8,"GIN4; serine/threonine-protein kinase GIN4 [EC:2.7.11.-]"
"KO:K06893","K06893",8,"K06893; uncharacterized protein"
"KO:K07000","K07000",8,"K07000; uncharacterized protein"
"KO:K07008","K07008",8,"egtC; gamma-glutamyl hercynylcysteine S-oxide hydrolase [EC:3.5.1.118]"
"KO:K07130","K07130",8,"kynB; arylformamidase [EC:3.5.1.9]"
"KO:K08017","K08017",8,"AVIL; advillin"
"KO:K08057","K08057",8,"CALR; calreticulin"
"KO:K08762","K08762",8,"DBI, ACBP; diazepam-binding inhibitor (GABA receptor modulator, acyl-CoA-binding protein)"
"KO:K08863","K08863",8,"PLK4; polo-like kinase 4 [EC:2.7.11.21]"
"KO:K09481","K09481",8,"SEC61B, SBH2; protein transport protein SEC61 subunit beta"
"KO:K09531","K09531",8,"DNAJC11; DnaJ homolog subfamily C member 11"
"KO:K09746","K09746",8,"K09746; uncharacterized protein"
"KO:K09780","K09780",8,"K09780; uncharacterized protein"
"KO:K10084","K10084",8,"EDEM1; ER degradation enhancer, mannosidase alpha-like 1"
"KO:K10364","K10364",8,"CAPZA; capping protein (actin filament) muscle Z-line, alpha"
"KO:K10421","K10421",8,"CLIP1, RSN; CAP-Gly domain-containing linker protein 1"
"KO:K10675","K10675",8,"E4.2.1.66; cyanide hydratase [EC:4.2.1.66]"
"KO:K10698","K10698",8,"UBE1L, UBA7; ubiquitin-activating enzyme E1-like [EC:6.2.1.45]"
"KO:K10703","K10703",8,"HACD, PHS1, PAS2; very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase [EC:4.2.1.134]"
"KO:K10852","K10852",8,"PENDE; isopenicillin-N N-acyltransferase [EC:2.3.1.164]"
"KO:K10878","K10878",8,"SPO11; meiotic recombination protein SPO11"
"KO:K11087","K11087",8,"SNRPD1, SMD1; small nuclear ribonucleoprotein D1"
"KO:K11098","K11098",8,"SNRPF, SMF; small nuclear ribonucleoprotein F"
"KO:K11270","K11270",8,"CTF8; chromosome transmission fidelity protein 8"
"KO:K11343","K11343",8,"MRGBP; MRG-binding protein"
"KO:K11344","K11344",8,"EAF6; chromatin modification-related protein EAF6"
"KO:K11399","K11399",8,"EAF7; chromatin modification-related protein EAF7"
"KO:K12814","K12814",8,"PRP2; pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13]"
"KO:K12835","K12835",8,"DDX42, SF3B125; ATP-dependent RNA helicase DDX42 [EC:3.6.4.13]"
"KO:K13506","K13506",8,"GPAT3_4, AGPAT9, AGPAT6; glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15]"
"KO:K13908","K13908",8,"MUC5B, MG1; mucin-5B"
"KO:K14022","K14022",8,"CUE1, KIS4; coupling of ubiquitin conjugation to ER degradation protein 1"
"KO:K14211","K14211",8,"ELN; elastin"
"KO:K14325","K14325",8,"RNPS1; RNA-binding protein with serine-rich domain 1"
"KO:K14526","K14526",8,"POP7, RPP2; ribonuclease P/MRP protein subunit POP7 [EC:3.1.26.5]"
"KO:K14659","K14659",8,"nodB; chitooligosaccharide deacetylase [EC:3.5.1.-]"
"KO:K15033","K15033",8,"ICT1; peptidyl-tRNA hydrolase ICT1 [EC:3.1.1.29]"
"KO:K15206","K15206",8,"TFC7; transcription factor C subunit 7"
"KO:K15446","K15446",8,"TRM13, CCDC76; tRNA:m4X modification enzyme [EC:2.1.1.225]"
"KO:K16190","K16190",8,"GLCAK; glucuronokinase [EC:2.7.1.43]"
"KO:K16338","K16338",8,"SDC4; syndecan 4"
"KO:K16397","K16397",8,"epoD; epothilone polyketide synthase D"
"KO:K16489","K16489",8,"SFI1; protein SFI1"
"KO:K16584","K16584",8,"HAUS1, AUG1; HAUS augmin-like complex subunit 1"
"KO:K17413","K17413",8,"MRPS35; small subunit ribosomal protein S35"
"KO:K17428","K17428",8,"MRPL47, NCM1; large subunit ribosomal protein L47"
"KO:K17778","K17778",8,"TIM10; mitochondrial import inner membrane translocase subunit TIM10"
"KO:K17795","K17795",8,"TIM17; mitochondrial import inner membrane translocase subunit TIM17"
"KO:K18160","K18160",8,"NDUFAF2; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2"
"KO:K18447","K18447",8,"NUDX14; ADP-sugar diphosphatase [EC:3.6.1.21]"
"KO:K18615","K18615",8,"RCSD1, CAPZIP; CapZ-interacting protein"
"KO:K18786","K18786",8,"E2.4.1.321; cellobionic acid phosphorylase [EC:2.4.1.321]"
"KO:K19356","K19356",8,"E1.14.99.54; lytic cellulose monooxygenase (C1-hydroxylating) [EC:1.14.99.54]"
"KO:K19357","K19357",8,"CELB; cellulase [EC:3.2.1.4]"
"KO:K19681","K19681",8,"IFT52; intraflagellar transport protein 52"
"KO:K00154","K00154",7,"E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]"
"KO:K00248","K00248",7,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]"
"KO:K00362","K00362",7,"nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]"
"KO:K00364","K00364",7,"guaC, GMPR; GMP reductase [EC:1.7.1.7]"
"KO:K00489","K00489",7,"CYP7A1; cholesterol 7alpha-monooxygenase [EC:1.14.14.23]"
"KO:K00495","K00495",7,"CYP71AN24; phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]"
"KO:K00597","K00597",7,"MTRR; methionine synthase reductase [EC:1.16.1.8]"
"KO:K00757","K00757",7,"udp, UPP; uridine phosphorylase [EC:2.4.2.3]"
"KO:K00825","K00825",7,"AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]"
"KO:K00861","K00861",7,"RFK, FMN1; riboflavin kinase [EC:2.7.1.26]"
"KO:K01139","K01139",7,"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
"KO:K01286","K01286",7,"E3.4.16.4; D-alanyl-D-alanine carboxypeptidase [EC:3.4.16.4]"
"KO:K01302","K01302",7,"CPQ; carboxypeptidase Q [EC:3.4.17.-]"
"KO:K01457","K01457",7,"atzF; allophanate hydrolase [EC:3.5.1.54]"
"KO:K01724","K01724",7,"PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
"KO:K01777","K01777",7,"prdF; proline racemase [EC:5.1.1.4]"
"KO:K01841","K01841",7,"pepM; phosphoenolpyruvate phosphomutase [EC:5.4.2.9]"
"KO:K01938","K01938",7,"fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]"
"KO:K02088","K02088",7,"CDK3; cyclin-dependent kinase 3 [EC:2.7.11.22]"
"KO:K02111","K02111",7,"ATPF1A, atpA; F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]"
"KO:K02838","K02838",7,"frr, MRRF, RRF; ribosome recycling factor"
"KO:K02899","K02899",7,"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
"KO:K02900","K02900",7,"RP-L27Ae, RPL27A; large subunit ribosomal protein L27Ae"
"KO:K02929","K02929",7,"RP-L44e, RPL44; large subunit ribosomal protein L44e"
"KO:K03072","K03072",7,"secD; preprotein translocase subunit SecD"
"KO:K03134","K03134",7,"TAF10; transcription initiation factor TFIID subunit 10"
"KO:K03282","K03282",7,"mscL; large conductance mechanosensitive channel"
"KO:K03319","K03319",7,"TC.DASS; divalent anion:Na+ symporter, DASS family"
"KO:K03383","K03383",7,"atzD; cyanuric acid amidohydrolase [EC:3.5.2.15]"
"KO:K03545","K03545",7,"tig; trigger factor"
"KO:K03561","K03561",7,"exbB; biopolymer transport protein ExbB"
"KO:K03789","K03789",7,"rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]"
"KO:K03795","K03795",7,"cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]"
"KO:K03893","K03893",7,"arsB; arsenical pump membrane protein"
"KO:K03939","K03939",7,"NDUFS6; NADH dehydrogenase (ubiquinone) Fe-S protein 6"
"KO:K03955","K03955",7,"NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"
"KO:K03959","K03959",7,"NDUFB3; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3"
"KO:K03978","K03978",7,"engB; GTP-binding protein"
"KO:K04078","K04078",7,"groES, HSPE1; chaperonin GroES"
"KO:K05770","K05770",7,"TSPO, BZRP; translocator protein"
"KO:K05898","K05898",7,"kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]"
"KO:K05931","K05931",7,"CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]"
"KO:K05941","K05941",7,"E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase [EC:2.3.2.15]"
"KO:K06979","K06979",7,"mph; macrolide phosphotransferase"
"KO:K07112","K07112",7,"K07112; uncharacterized protein"
"KO:K07213","K07213",7,"ATOX1, ATX1, copZ, golB; copper chaperone"
"KO:K07222","K07222",7,"K07222; putative flavoprotein involved in K+ transport"
"KO:K07836","K07836",7,"RAP1B; Ras-related protein Rap-1B"
"KO:K08873","K08873",7,"SMG1; serine/threonine-protein kinase SMG1 [EC:2.7.11.1]"
"KO:K09001","K09001",7,"anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"KO:K09104","K09104",7,"TX; delilah"
"KO:K09539","K09539",7,"DNAJC19; DnaJ homolog subfamily C member 19"
"KO:K09607","K09607",7,"ina; immune inhibitor A [EC:3.4.24.-]"
"KO:K09702","K09702",7,"K09702; uncharacterized protein"
"KO:K09760","K09760",7,"rmuC; DNA recombination protein RmuC"
"KO:K09798","K09798",7,"K09798; uncharacterized protein"
"KO:K09983","K09983",7,"K09983; uncharacterized protein"
"KO:K10027","K10027",7,"crtI; phytoene desaturase [EC:1.3.99.26 1.3.99.28 1.3.99.29 1.3.99.31]"
"KO:K10144","K10144",7,"RCHY1, PIRH2; RING finger and CHY zinc finger domain-containing protein 1 [EC:2.3.2.27]"
"KO:K10335","K10335",7,"ASB13; ankyrin repeat and SOCS box protein 13"
"KO:K10400","K10400",7,"KIF15; kinesin family member 15"
"KO:K10406","K10406",7,"KIFC2_3; kinesin family member C2/C3"
"KO:K10586","K10586",7,"BIRC6, BRUCE; baculoviral IAP repeat-containing protein 6 (apollon) [EC:2.3.2.23]"
"KO:K10797","K10797",7,"enr; 2-enoate reductase [EC:1.3.1.31]"
"KO:K10899","K10899",7,"RECQL; ATP-dependent DNA helicase Q1 [EC:5.6.2.4]"
"KO:K10950","K10950",7,"ERO1L; ERO1-like protein alpha [EC:1.8.4.-]"
"KO:K11096","K11096",7,"SNRPD2, SMD2; small nuclear ribonucleoprotein D2"
"KO:K11140","K11140",7,"ANPEP, CD13; aminopeptidase N [EC:3.4.11.2]"
"KO:K12489","K12489",7,"ACAP; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein"
"KO:K12668","K12668",7,"OST2, DAD1; oligosaccharyltransferase complex subunit epsilon"
"KO:K12833","K12833",7,"SF3B14; pre-mRNA branch site protein p14"
"KO:K13098","K13098",7,"TLS, FUS; RNA-binding protein FUS"
"KO:K13513","K13513",7,"LCLAT1, AGPAT8; lysocardiolipin and lysophospholipid acyltransferase [EC:2.3.1.- 2.3.1.51]"
"KO:K13755","K13755",7,"PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]"
"KO:K13777","K13777",7,"atuF; geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]"
"KO:K13836","K13836",7,"CSP; circumsporozoite protein"
"KO:K13985","K13985",7,"NAPEPLD; N-acyl-phosphatidylethanolamine-hydrolysing phospholipase D [EC:3.1.4.54]"
"KO:K14171","K14171",7,"AHP1; alkyl hydroperoxide reductase 1 [EC:1.11.1.24]"
"KO:K14324","K14324",7,"SAP18; histone deacetylase complex subunit SAP18"
"KO:K14735","K14735",7,"HEPH; hephaestin [EC:1.16.3.1]"
"KO:K14828","K14828",7,"RIX1, IPI2; pre-rRNA-processing protein RIX1"
"KO:K14851","K14851",7,"RRP17, NOL12; ribosomal RNA-processing protein 17"
"KO:K14858","K14858",7,"SRD1; pre-rRNA-processing protein SRD1"
"KO:K15151","K15151",7,"MED10, NUT2; mediator of RNA polymerase II transcription subunit 10"
"KO:K15153","K15153",7,"MED31, SOH1; mediator of RNA polymerase II transcription subunit 31"
"KO:K15173","K15173",7,"TTF2; transcription termination factor 2 [EC:5.6.2.-]"
"KO:K15332","K15332",7,"TRMT2A; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.-]"
"KO:K15386","K15386",7,"APDB, CYP685A1; cytochrome P450 monooxygenase"
"KO:K15561","K15561",7,"NAB3; nuclear polyadenylated RNA-binding protein 3"
"KO:K15901","K15901",7,"TPRKB, CGI121; EKC/KEOPS complex subunit TPRKB/CGI121"
"KO:K15902","K15902",7,"LAGE3, PCC1; EKC/KEOPS complex subunit LAGE3/PCC1"
"KO:K16230","K16230",7,"HAC1; transcriptional activator HAC1"
"KO:K16487","K16487",7,"SAS-6, SASS6; spindle assembly abnormal protein 6"
"KO:K17893","K17893",7,"AOX1, AOX2; ubiquinol oxidase [EC:1.10.3.11]"
"KO:K18009","K18009",7,"budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
"KO:K18081","K18081",7,"MTMR1_2; myotubularin-related protein 1/2 [EC:3.1.3.64 3.1.3.95]"
"KO:K18172","K18172",7,"CMC2; COX assembly mitochondrial protein 2"
"KO:K18174","K18174",7,"COA2; cytochrome c oxidase assembly factor 2"
"KO:K18204","K18204",7,"D2HGDH; D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]"
"KO:K18681","K18681",7,"DIS3L; DIS3-like exonuclease 1 [EC:3.1.13.-]"
"KO:K18721","K18721",7,"NUP1; nucleoporin NUP1"
"KO:K18758","K18758",7,"DIS3L2; DIS3-like exonuclease 2 [EC:3.1.13.-]"
"KO:K19126","K19126",7,"casE, cse3; CRISPR system Cascade subunit CasE"
"KO:K19527","K19527",7,"VPS13D; vacuolar protein sorting-associated protein 13D"
"KO:K19690","K19690",7,"CHK1; osomolarity two-component system, sensor histidine kinase CHK1 [EC:2.7.13.3]"
"KO:K00011","K00011",6,"AKR1B; aldehyde reductase [EC:1.1.1.21]"
"KO:K00014","K00014",6,"aroE; shikimate dehydrogenase [EC:1.1.1.25]"
"KO:K00045","K00045",6,"E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]"
"KO:K00073","K00073",6,"allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]"
"KO:K00360","K00360",6,"nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]"
"KO:K00368","K00368",6,"nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]"
"KO:K00417","K00417",6,"QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7"
"KO:K00522","K00522",6,"FTH1; ferritin heavy chain [EC:1.16.3.2]"
"KO:K00639","K00639",6,"kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]"
"KO:K00656","K00656",6,"E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]"
"KO:K00760","K00760",6,"hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]"
"KO:K00790","K00790",6,"murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"KO:K00821","K00821",6,"argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"
"KO:K00991","K00991",6,"ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]"
"KO:K01047","K01047",6,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
"KO:K01227","K01227",6,"ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase [EC:3.2.1.96]"
"KO:K01362","K01362",6,"OVCH; ovochymase [EC:3.4.21.-]"
"KO:K01448","K01448",6,"amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"KO:K01491","K01491",6,"folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]"
"KO:K01636","K01636",6,"NA"
"KO:K01712","K01712",6,"hutU, UROC1; urocanate hydratase [EC:4.2.1.49]"
"KO:K01752","K01752",6,"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]"
"KO:K01957","K01957",6,"ddaH; N-3-fumaroyl-(S)-2,3-diaminopropanoate amidotransferase [EC:6.3.5.-]"
"KO:K01999","K01999",6,"livK; branched-chain amino acid transport system substrate-binding protein"
"KO:K02005","K02005",6,"ABC.CD.TX; HlyD family secretion protein"
"KO:K02201","K02201",6,"E2.7.7.3B; pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"KO:K02266","K02266",6,"COX6A; cytochrome c oxidase subunit 6a"
"KO:K02427","K02427",6,"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"
"KO:K02886","K02886",6,"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
"KO:K02888","K02888",6,"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
"KO:K02902","K02902",6,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
"KO:K02920","K02920",6,"RP-L36e, RPL36; large subunit ribosomal protein L36e"
"KO:K02963","K02963",6,"RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
"KO:K03168","K03168",6,"topA; DNA topoisomerase I [EC:5.6.2.1]"
"KO:K03366","K03366",6,"butA, budC; meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.- 1.1.1.76 1.1.1.304]"
"KO:K03372","K03372",6,"SLC33A1, ACATN; MFS transporter, PAT family, solute carrier family 33 (acetyl-CoA transportor), member 1 [EC:2.3.1.-]"
"KO:K03924","K03924",6,"moxR; MoxR-like ATPase [EC:3.6.3.-]"
"KO:K03932","K03932",6,"lpqC; polyhydroxybutyrate depolymerase"
"KO:K04125","K04125",6,"GA2ox; gibberellin 2beta-dioxygenase [EC:1.14.11.13]"
"KO:K04127","K04127",6,"cefD; isopenicillin-N epimerase [EC:5.1.1.17]"
"KO:K04771","K04771",6,"degP, htrA; serine protease Do [EC:3.4.21.107]"
